OBJECTID,NAME,SHORT_NAME,PARKTYPE,COUNTY,SHOW,GLOBALID,CREATED_DATE,LAST_EDITED_DATE,SHAPE__Area,SHAPE__Length
447,Taft High School,Taft High School,Schools-Public,Hamilton,1,66654b7c-7bd3-4ed4-8207-4fc1d92b3baf,,,42188.4609375,831.787786285216
448,WILLOW PARK,Willow Park on the Whitewater,City or Village,Hamilton,1,a4b2dcc5-34d6-4cd7-af27-8b494accda77,,,90026.78125,1465.55659362654
449,Doug Dunaway Memorial Motocross Park,Doug Dunaway Memorial Motocross Park,City or Village,Hamilton,1,994c3068-03df-4671-9b13-07e569b359a7,,,272101.8046875,2139.8722521783
450,Memorial Field,Memorial Field,City or Village,Hamilton,1,d62b53d2-bf09-463a-9088-67c15fa25441,,,33900.5859375,741.278636988353
451,LAKE BARBER,Lake Barber,City or Village,Hamilton,1,c2fdd86e-9e49-4ef2-bbcb-d8a1a26a630f,,,491131.125702739,4842.7265809534
452,BERKE SOCCER FIELDS,Berke Soccer Fields,City or Village,Hamilton,1,c0b748c1-0319-47b4-be1b-f045b7bccebe,,,77407.11328125,1269.50903380217
453,BLONG MEMORIAL,Blong Memorial Park,Township,Hamilton,1,45310c2c-0f99-4b9d-8638-e93141555cf9,,,10113.30859375,432.415747574409
454,Sands School Playground,Sands School Playground,City or Village,Hamilton,1,26b17763-1e02-4275-a479-01b65437714d,,,8736.2734375,407.912928994368
455,Site-Preserved-Duck Creek Rd,Site-Preserved-Duck Creek Rd,City or Village,Hamilton,1,aff0ffce-6af6-4ad4-b197-9a5c022c2e14,,,72271.59765625,2391.11037257653
456,CENTRAL PARKWAY,Central Parkway Greenspace,City or Village,Hamilton,1,1c997cbc-15e0-4f61-99e7-3b8c51a44409,,2025/10/31 13:12:24+00,90428.20703125,17491.1586811719
457,Otto Armleder Memorial Park Trail,Otto Armleder Memorial Park Trail,Park District,Hamilton,1,ed7810c2-8e20-45b5-935c-934640f1f446,,,5041.65234375,1811.09374734333
458,Clear Creek Park - LMST,Little Miami Scenic Trail,State Government,Hamilton,1,df5a5b9d-13a0-4e8b-8abc-a6fd8bce3d05,,,30736.576186657,6096.41591508231
459,Village of Evendale Municipal Complex,Village of Evendale Municipal Complex,City or Village,Hamilton,1,476538cb-24aa-477f-88c9-c1eb6e8c5d42,,,201747.91015625,2325.30089043911
